objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
no3620,388,142,257,257,257,332,502,502,502,502,1951,5
no47860,388,136,728,728,695,953,1451,1451,1451,1451,2612,5
no89499,389,100,446,446,446,585,797,797,797,797,2169,4
no42024,389,184,808,808,765,1222,1321,1321,1321,1321,3481,4
no67501,389,116,595,595,570,836,891,891,943,891,2705,4
no76554,390,94,446,446,412,617,736,736,736,736,2286,4
no85901,390,68,267,267,212,287,287,287,287,287,767,4
no76642,390,387,1863,1863,1863,2629,3582,3582,3582,3582,9262,5
no89522,391,211,1191,1191,1184,1668,3127,3127,3127,3127,3098,15
no3211,392,107,411,411,411,659,907,907,907,907,3011,5
no6205,393,164,936,936,878,1295,1916,1916,1916,1916,3978,4
no44262,394,84,308,308,308,415,584,584,584,584,1915,4
no84263,394,148,1362,1362,1362,1778,3354,3354,3354,3354,2316,4
no12387,394,184,866,866,866,1326,2285,2285,2292,2285,4490,5
no12209,396,206,1186,1186,1186,1665,3090,3090,3090,3090,4484,4
no2058,396,147,653,653,633,1011,1078,1078,1078,1078,2835,5
no23148,397,142,1077,1077,1037,1357,2418,2418,2418,2418,2241,5
no70288,397,134,645,645,549,807,1005,1005,1005,1005,2318,5
no60269,399,142,631,631,631,834,1853,1853,1853,1853,3298,4
no76639,399,484,1939,1939,1611,2043,2016,2016,2093,2016,7483,5
no63288,399,155,591,591,525,895,938,938,938,938,3056,4
no64870,400,124,619,619,582,819,988,988,988,988,2592,4
no40223,400,195,1113,1113,946,1352,2039,2039,2039,2039,4057,4
no9955,401,196,938,938,938,1358,2284,2284,2284,2284,3643,5
no57232,402,162,724,724,709,1148,1381,1381,1381,1381,3886,5
no83374,403,98,442,442,442,581,792,792,792,792,2165,4
no78404,403,90,322,322,322,429,599,599,599,599,1909,5
no68315,403,105,443,443,443,571,1074,1074,1074,1074,1938,5
no45592,406,83,308,308,308,415,585,585,585,585,1895,4
no68426,406,106,411,411,391,639,706,706,706,706,2280,4
no36461,406,142,850,850,799,1187,2131,2131,2131,2131,2705,5
no78102,406,73,290,290,290,397,620,620,620,620,2031,4
no7230,407,172,784,784,769,1226,1501,1501,1501,1501,4103,4
no46256,407,177,997,997,907,1287,1954,1954,1954,1954,4878,4
no89900,407,154,804,804,729,1096,2036,2036,2036,2036,3820,4
no43083,408,192,949,949,949,1455,2863,2863,2863,2863,6641,5
no85909,408,73,290,290,290,397,620,620,620,620,2031,5
no79709,408,172,784,784,741,1198,1291,1291,1291,1291,3457,5
no60103,408,88,459,459,459,443,177,177,177,177,362,4
no27844,410,267,1348,1348,1151,1557,1831,1831,1831,1831,3517,4
no69391,410,126,958,958,958,1430,2212,2212,2212,2212,4006,5
